Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
4.12,-7.61,-7.98,1
4.139,-7.61,-7.98,1
4.159,-7.61,-7.98,1
4.18,-7.61,-7.98,1
4.199,-7.61,-7.86,1
4.219,-7.49,-7.86,1
4.219,-7.49,-7.86,1
4.24,-7.49,-7.86,1
4.26,-7.61,-7.98,1
4.28,-7.61,-7.98,1
4.3,-7.61,-7.86,1
4.32,-7.49,-7.98,1
4.34,-7.61,-7.86,1
4.36,-7.61,-7.86,1
4.38,-7.61,-7.86,1
4.4,-7.49,-7.86,1
4.42,-7.61,-7.86,1
4.439,-7.49,-7.86,1
4.46,-7.49,-7.86,1
4.48,-7.49,-7.98,1
4.5,-7.61,-7.86,1
4.52,-7.49,-7.86,1
4.54,-7.49,-7.86,1
4.56,-7.61,-7.86,1
4.579,-7.49,-7.98,1
4.6,-7.61,-7.98,1
4.62,-7.61,-7.86,1
4.62,-7.61,-7.98,1
4.641,-7.49,-7.86,1
4.661,-7.49,-7.86,1
4.681,-7.61,-7.86,1
4.701,-7.49,-7.86,1
4.721,-7.49,-7.86,1
4.741,-7.49,-7.86,1
4.761,-7.49,-7.86,1
4.781,-7.49,-7.98,1
4.8,-7.49,-7.86,1
4.821,-6.88,-7.73,1
4.841,-5.66,-6.76,1
4.861,-4.8,-5.9,1
4.881,-3.95,-5.17,1
4.9,-3.58,-4.68,1
4.921,-2.97,-4.07,1
4.941,-2.6,-3.7,1
4.96,-2.36,-3.46,1
4.981,-1.87,-3.21,1
5.001,-1.87,-3.09,1
5.021,-1.38,-2.97,0
5.042,-1.38,-2.85,0
5.062,-1.26,-2.72,0
5.082,-1.01,-2.6,0
5.102,-1.01,-2.48,0
5.122,-0.77,-2.48,0
5.142,-0.89,-2.36,0
5.162,-0.89,-2.36,0
5.182,-0.77,-2.36,0
5.201,-0.89,-2.24,0
5.222,-0.65,-2.11,0
5.241,-0.77,-2.11,0
5.261,-0.77,-2.11,0
5.282,-0.65,-2.11,0
5.302,-0.65,-2.11,0
5.322,-0.4,-2.11,0
5.342,-0.4,-1.99,0
5.362,-0.53,-1.99,0
5.381,-0.65,-1.87,0
5.402,-0.77,-1.75,0
5.422,-0.4,-1.75,0
5.443,-0.65,-2.36,0
5.462,-2.97,-4.07,0
5.482,-4.68,-6.02,0
5.502,-6.51,-8.59,0
5.522,-8.71,-9.81,0
5.542,-9.81,-10.42,0
5.562,-10.42,-10.67,0
5.583,-10.79,-10.79,0
5.602,-11.03,-11.03,0
5.622,-11.03,-11.03,0
5.643,-11.16,-11.16,0
5.663,-11.16,-11.16,0
5.683,-11.28,-11.16,0
5.703,-11.28,-11.16,0
5.722,-11.4,-11.28,0
5.742,-11.28,-11.28,0
5.763,-11.4,-11.28,0
5.783,-11.28,-11.28,0
5.802,-11.28,-11.28,0
5.822,-11.28,-11.28,0
5.822,-11.4,-11.28,0
5.843,-11.4,-11.28,0
5.863,-11.4,-11.28,1
5.883,-11.4,-11.28,1
5.903,-11.4,-11.28,1
5.923,-11.4,-11.4,1
5.943,-11.4,-11.28,1
5.963,-11.4,-11.4,1
5.983,-11.4,-11.4,1
6.003,-11.52,-11.4,1
6.023,-11.4,-11.28,1
6.042,-10.91,-10.67,1
6.063,-10.18,-9.57,1
6.083,-9.45,-7.86,1
6.103,-7.73,-6.63,1
6.123,-6.27,-5.78,1
6.143,-5.41,-5.05,1
6.163,-4.44,-4.56,1
6.183,-3.7,-4.19,1
6.202,-3.34,-3.82,1
6.223,-2.72,-3.58,1
6.243,-2.6,-3.46,0
6.263,-2.11,-3.21,0
6.283,-1.87,-2.97,0
6.304,-1.75,-2.85,0
6.323,-1.63,-2.6,0
6.343,-1.63,-2.6,0
6.363,-1.26,-2.48,0
6.384,-1.26,-2.6,0
6.404,-1.26,-2.48,0
6.424,-1.14,-2.36,0
6.444,-1.14,-2.24,0
6.463,-1.01,-2.11,0
6.483,-1.01,-2.24,0
6.503,-1.01,-2.24,0
6.524,-0.89,-2.24,0
6.544,-1.01,-2.36,0
6.564,-0.65,-2.24,0
6.583,-0.65,-2.11,0
6.603,-0.77,-1.99,0
6.624,-0.89,-1.99,0
6.625,-0.89,-1.99,0
6.646,-0.89,-2.48,0
6.665,-3.09,-4.19,0
6.69,-4.92,-6.15,0
6.705,-6.51,-8.71,0
6.726,-8.71,-9.81,0
6.747,-9.69,-10.42,0
6.77,-10.42,-10.67,0
6.786,-10.91,-10.91,0
6.805,-10.91,-11.03,0
6.828,-11.16,-11.03,0
6.851,-11.16,-11.16,0
6.87,-11.16,-11.16,0
6.886,-11.16,-11.16,0
6.906,-11.28,-11.16,0
6.927,-11.28,-11.16,0
6.951,-11.28,-11.28,0
6.969,-11.28,-11.16,0
6.985,-11.28,-11.28,0
7.006,-11.28,-11.16,0
7.027,-11.28,-11.28,0
7.027,-11.4,-11.28,0
7.052,-11.28,-11.28,0
7.069,-11.4,-11.28,1
7.088,-11.28,-11.28,1
7.11,-11.4,-11.28,1
7.128,-11.4,-11.28,1
7.151,-11.28,-11.28,1
7.168,-11.4,-11.28,1
7.188,-11.4,-11.4,1
7.211,-11.4,-11.28,1
7.227,-11.28,-11.16,1
7.252,-10.79,-10.54,1
7.269,-10.18,-9.08,1
7.288,-8.71,-7.61,1
7.311,-7.0,-6.39,1
7.334,-5.66,-5.54,1
7.351,-4.92,-4.92,1
7.369,-4.07,-4.44,1
7.391,-3.58,-4.07,1
7.408,-3.09,-3.82,1
7.432,-2.72,-3.58,1
7.433,-2.48,-3.34,0
7.457,-1.99,-3.09,0
7.474,-1.87,-2.85,0
7.499,-1.63,-2.72,0
7.515,-1.38,-2.6,0
7.535,-1.38,-2.48,0
7.557,-1.26,-2.48,0
7.574,-1.26,-2.48,0
7.599,-1.14,-2.48,0
7.615,-1.01,-2.24,0
7.634,-1.14,-2.11,0
7.654,-0.89,-2.11,0
7.674,-0.89,-2.11,0
7.698,-0.89,-2.11,0
7.715,-0.77,-2.11,0
7.734,-1.01,-2.11,0
7.754,-0.53,-1.99,0
7.775,-0.53,-1.87,0
7.797,-0.65,-1.75,0
7.814,-0.65,-1.75,0
7.838,-0.65,-1.75,0
7.838,-0.77,-2.11,0
7.863,-2.97,-3.82,0
7.88,-4.56,-5.9,0
7.9,-5.78,-8.47,0
7.922,-7.37,-9.81,0
7.946,-9.2,-10.42,0
7.963,-10.06,-10.67,0
7.979,-10.67,-10.79,0
8.0,-10.91,-11.03,0
8.021,-10.91,-11.03,0
8.039,-11.03,-11.16,0
8.061,-11.16,-11.16,0
8.086,-11.28,-11.28,0
8.101,-11.28,-11.28,0
8.12,-11.28,-11.28,0
8.139,-11.28,-11.28,0
8.163,-11.4,-11.28,0
8.186,-11.28,-11.28,0
8.202,-11.28,-11.28,0
8.22,-11.4,-11.4,0
8.239,-11.4,-11.28,0
8.261,-11.4,-11.28,0
8.279,-11.4,-11.28,1
8.3,-11.4,-11.28,1
8.32,-11.4,-11.4,1
8.343,-11.4,-11.4,1
8.359,-11.4,-11.4,1
8.383,-11.4,-11.4,1
8.4,-11.4,-11.4,1
8.425,-11.52,-11.4,1
8.442,-11.4,-11.28,1
8.461,-10.91,-10.67,1
8.482,-10.18,-9.57,1
8.499,-8.83,-7.98,1
8.524,-7.0,-6.76,1
8.541,-5.9,-5.78,1
8.565,-4.92,-5.17,1
8.581,-4.19,-4.56,1
8.606,-3.46,-4.19,1
8.621,-2.97,-3.82,1
8.639,-2.72,-3.58,1
8.661,-2.36,-3.34,0
8.68,-1.99,-2.97,0
8.7,-1.75,-2.85,0
8.721,-1.38,-2.6,0
8.745,-1.5,-2.48,0
8.761,-1.38,-2.36,0
8.779,-1.26,-2.36,0
8.802,-1.14,-2.24,0
8.822,-0.89,-2.24,0
8.843,-1.01,-2.11,0
8.86,-1.01,-1.99,0
8.88,-0.77,-1.99,0
8.903,-0.77,-1.99,0
8.927,-0.65,-1.99,0
8.94,-0.89,-1.99,0
8.96,-0.65,-1.99,0
8.98,-0.4,-1.87,0
9.002,-0.4,-1.87,0
9.027,-0.4,-1.75,0
9.042,-0.65,-1.75,0
9.067,-0.4,-1.75,0
9.083,-0.77,-2.11,0
9.109,-2.72,-3.95,0
9.126,-4.68,-5.78,0
9.144,-6.02,-8.47,0
9.166,-7.98,-9.81,0
9.19,-9.69,-10.3,0
9.207,-10.3,-10.67,0
9.224,-10.67,-10.91,0
9.249,-10.91,-11.03,0
9.265,-11.03,-11.16,0
9.283,-11.16,-11.16,0
9.307,-11.16,-11.16,0
9.323,-11.28,-11.16,0
9.349,-11.28,-11.16,0
9.365,-11.28,-11.28,0
9.382,-11.4,-11.28,0
9.405,-11.4,-11.28,0
9.423,-11.28,-11.28,0
9.446,-11.28,-11.28,0
9.466,-11.4,-11.28,0
9.487,-11.4,-11.28,0
9.51,-11.4,-11.28,0
9.527,-11.4,-11.28,1
9.552,-11.4,-11.28,1
9.567,-11.4,-11.28,1
9.587,-11.4,-11.28,1
9.609,-11.4,-11.28,1
9.628,-11.4,-11.4,1
9.651,-11.4,-11.4,1
9.668,-11.4,-11.4,1
9.693,-11.28,-11.16,1
9.706,-10.79,-10.54,1
9.727,-10.06,-9.08,1
9.75,-9.32,-7.49,1
9.774,-8.35,-6.39,1
9.787,-6.76,-5.41,1
9.842,-5.54,-4.8,1
9.843,-4.68,-4.31,1
9.847,-3.95,-3.95,1
9.869,-3.34,-3.58,1
9.887,-2.72,-3.46,0
9.91,-2.48,-3.21,0
9.929,-2.11,-2.97,0
9.953,-1.75,-2.72,0
9.969,-1.63,-2.6,0
9.988,-1.26,-2.48,0
10.01,-1.5,-2.48,0
10.028,-1.38,-2.36,0
10.051,-1.01,-2.24,0
10.067,-1.01,-2.24,0
10.087,-0.77,-1.99,0
10.109,-0.89,-2.11,0
10.127,-0.89,-1.99,0
10.148,-0.89,-1.99,0
10.167,-0.53,-1.99,0
10.191,-0.77,-1.99,0
10.207,-0.77,-1.87,0
10.232,-0.28,-1.87,0
10.249,-0.4,-1.87,0
10.275,-0.4,-1.75,0
10.291,-0.65,-1.87,0
10.309,-2.24,-3.46,0
10.332,-4.31,-5.29,0
10.35,-5.78,-8.35,0
10.373,-7.98,-9.69,0
10.39,-9.45,-10.3,0
10.411,-10.42,-10.67,0
10.431,-10.67,-10.91,0
10.451,-10.91,-11.03,0
10.472,-11.03,-11.03,0
10.491,-11.16,-11.16,0
10.511,-11.28,-11.16,0
10.53,-11.28,-11.16,0
10.555,-11.4,-11.28,0
10.571,-11.28,-11.16,0
10.596,-11.28,-11.28,0
10.612,-11.4,-11.28,0
10.63,-11.28,-11.28,0
10.65,-11.4,-11.28,0
10.671,-11.4,-11.28,0
10.696,-11.4,-11.28,0
10.712,-11.4,-11.28,1
10.731,-11.4,-11.28,1
10.754,-11.4,-11.28,1
10.772,-11.4,-11.28,1
10.795,-11.4,-11.4,1
10.811,-11.4,-11.28,1
10.837,-11.4,-11.4,1
10.85,-11.4,-11.28,1
10.871,-11.4,-11.16,1
10.896,-10.91,-10.67,1
10.912,-10.18,-9.45,1
10.931,-8.83,-7.61,1
10.953,-7.12,-6.51,1
10.972,-5.78,-5.66,1
10.994,-4.56,-4.8,1
11.011,-4.07,-4.44,1
11.031,-3.58,-3.95,1
11.053,-3.09,-3.58,1
11.077,-2.6,-3.46,0
11.094,-2.11,-3.21,0
11.113,-2.11,-2.97,0
11.136,-1.63,-2.72,0
11.16,-1.38,-2.6,0
11.174,-1.26,-2.48,0
11.193,-1.26,-2.36,0
11.214,-1.26,-2.36,0
11.235,-1.14,-2.24,0
11.259,-1.01,-2.24,0
11.273,-0.65,-2.11,0
11.32,-0.89,-1.99,0
11.32,-0.89,-2.11,0
11.334,-0.89,-1.99,0
11.355,-0.77,-1.99,0
11.373,-0.65,-1.99,0
11.397,-0.77,-1.87,0
11.414,-0.53,-1.87,0
11.436,-0.53,-1.87,0
11.456,-0.4,-1.63,0
11.48,-0.4,-1.75,0
11.496,-1.87,-3.09,0
11.521,-3.95,-4.92,0
11.537,-5.54,-7.37,0
11.556,-7.61,-9.45,0
11.579,-9.32,-10.18,0
11.596,-10.3,-10.67,0
11.617,-10.67,-10.79,0
11.637,-11.03,-11.03,0
11.662,-10.91,-11.03,0
11.676,-11.16,-11.16,0
11.7,-11.16,-11.28,0
11.719,-11.28,-11.16,0
11.737,-11.28,-11.16,0
11.76,-11.4,-11.16,0
11.776,-11.28,-11.28,0
11.802,-11.4,-11.28,0
11.818,-11.28,-11.28,0
11.836,-11.4,-11.28,0
11.859,-11.4,-11.28,0
11.859,-11.4,-11.28,0
11.883,-11.4,-11.28,0
11.9,-11.28,-11.28,1
11.925,-11.4,-11.28,1
11.941,-11.4,-11.4,1
11.96,-11.4,-11.4,1
11.982,-11.4,-11.4,1
12.006,-11.4,-11.4,1
12.02,-11.4,-11.4,1
12.04,-11.4,-11.28,1
12.063,-10.91,-10.79,1
12.079,-10.18,-9.69,1
12.1,-9.2,-7.98,1
12.12,-7.37,-6.63,1
12.139,-5.9,-5.66,1
12.161,-4.8,-4.92,1
12.186,-4.19,-4.44,1
12.202,-3.58,-4.07,1
12.219,-3.09,-3.7,1
12.243,-2.72,-3.46,0
12.259,-2.11,-3.21,0
12.28,-2.11,-2.97,0
12.301,-1.75,-2.72,0
12.325,-1.5,-2.6,0
12.341,-1.26,-2.36,0
12.366,-1.26,-2.36,0
12.384,-1.26,-2.36,0
12.401,-1.14,-2.24,0
12.425,-1.01,-2.11,0
12.441,-0.77,-2.11,0
12.46,-0.89,-1.99,0
12.482,-0.77,-1.99,0
12.501,-0.77,-1.99,0
12.52,-0.89,-1.87,0
12.542,-0.53,-1.87,0
12.561,-0.77,-1.87,0
12.584,-0.65,-1.75,0
12.6,-0.4,-1.75,0
12.625,-0.4,-1.63,0
12.642,-0.4,-1.63,0
12.661,-1.63,-2.85,0
12.681,-3.7,-4.8,0
12.701,-5.29,-7.25,0
12.721,-7.12,-9.45,0
12.752,-9.08,-10.18,0
12.763,-10.18,-10.67,0
12.781,-10.67,-10.79,0
12.801,-10.91,-10.91,0
12.822,-10.91,-11.16,0
12.841,-11.16,-11.16,0
12.861,-11.16,-11.28,0
12.881,-11.28,-11.28,0
12.901,-11.28,-11.28,0
12.921,-11.28,-11.28,0
