Time (s),Pressure 1 (kPa),Pressure 2 (kPa),Switch State
3.97,-7.49,-7.98,1
3.99,-7.49,-7.98,1
4.01,-7.49,-7.98,1
4.03,-7.49,-7.86,1
4.05,-7.49,-7.98,1
4.07,-7.49,-7.98,1
4.09,-7.49,-7.86,1
4.09,-7.49,-7.98,1
4.11,-7.49,-7.98,1
4.13,-7.49,-7.86,1
4.15,-7.49,-7.98,1
4.17,-7.49,-7.86,1
4.19,-7.49,-7.86,1
4.21,-7.49,-7.98,1
4.23,-7.61,-7.98,1
4.25,-7.49,-7.86,1
4.27,-7.49,-7.98,1
4.29,-7.49,-7.86,1
4.31,-7.61,-7.98,1
4.33,-7.49,-7.98,1
4.35,-7.49,-7.98,1
4.37,-7.49,-7.86,1
4.39,-7.49,-7.98,1
4.41,-7.49,-7.98,1
4.43,-7.49,-7.98,1
4.45,-7.49,-7.86,1
4.47,-7.49,-7.86,1
4.49,-7.49,-7.98,1
4.491,-7.49,-7.86,1
4.511,-7.49,-7.86,1
4.531,-7.49,-7.86,1
4.551,-7.0,-7.86,1
4.571,-6.39,-7.49,1
4.591,-5.9,-6.88,1
4.611,-5.54,-6.51,1
4.631,-5.17,-6.27,1
4.651,-4.92,-6.02,1
4.671,-4.92,-5.78,1
4.691,-4.8,-5.54,1
4.711,-4.56,-5.54,1
4.731,-4.44,-5.29,1
4.751,-4.44,-5.29,1
4.771,-4.44,-5.17,1
4.791,-4.31,-5.05,1
4.811,-4.31,-5.05,1
4.831,-4.44,-5.05,1
4.851,-4.44,-5.05,1
4.871,-4.31,-5.05,0
4.891,-4.07,-5.05,0
4.911,-4.07,-5.05,0
4.931,-4.07,-5.05,0
4.951,-4.07,-4.92,0
4.971,-4.07,-4.92,0
4.991,-4.19,-4.92,0
5.011,-4.31,-4.8,0
5.031,-4.19,-4.8,0
5.051,-4.07,-4.8,0
5.071,-4.07,-4.8,0
5.091,-4.07,-4.8,0
5.111,-4.07,-4.92,0
5.131,-4.07,-4.92,0
5.151,-4.19,-4.8,0
5.171,-4.07,-4.92,0
5.191,-4.07,-4.8,0
5.211,-4.07,-4.8,0
5.231,-4.07,-4.8,0
5.251,-4.07,-4.8,0
5.271,-4.07,-4.8,0
5.292,-4.07,-4.8,0
5.312,-4.07,-4.8,0
5.332,-4.07,-4.8,0
5.352,-4.19,-4.8,0
5.372,-4.07,-4.8,0
5.392,-4.07,-4.92,0
5.412,-4.07,-4.8,0
5.432,-3.95,-4.8,0
5.452,-3.95,-4.68,0
5.472,-3.95,-4.68,0
5.492,-3.82,-4.68,0
5.512,-3.82,-4.68,0
5.532,-3.82,-4.68,0
5.552,-3.82,-4.68,0
5.572,-3.82,-4.68,0
5.592,-3.82,-4.68,0
5.612,-4.07,-4.8,0
5.632,-5.17,-5.9,0
5.652,-6.15,-6.63,0
5.672,-6.63,-7.25,0
5.692,-7.0,-8.47,0
5.692,-7.61,-9.08,0
5.712,-8.71,-9.45,0
5.732,-9.2,-9.57,0
5.752,-9.45,-9.81,0
5.772,-9.57,-9.81,0
5.792,-9.69,-9.93,0
5.812,-9.81,-9.93,0
5.832,-9.81,-9.93,0
5.852,-9.81,-9.93,0
5.872,-9.93,-9.93,0
5.892,-9.93,-10.06,0
5.912,-9.93,-10.06,0
5.932,-9.93,-10.06,0
5.952,-10.06,-10.06,0
5.972,-9.93,-10.18,0
5.992,-10.06,-10.06,0
6.012,-10.06,-10.06,0
6.032,-10.06,-10.18,0
6.052,-10.06,-10.18,0
6.072,-10.06,-10.06,0
6.093,-10.06,-10.06,0
6.113,-10.06,-10.06,0
6.133,-10.06,-10.18,0
6.153,-10.06,-10.18,0
6.173,-10.06,-10.18,0
6.193,-10.06,-10.18,0
6.213,-10.06,-10.18,0
6.233,-10.06,-10.18,0
6.253,-10.18,-10.18,0
6.273,-10.06,-10.18,0
6.293,-10.18,-10.18,0
6.313,-10.18,-10.18,0
6.333,-10.18,-10.18,0
6.353,-10.18,-10.18,1
6.373,-10.18,-10.18,1
6.393,-10.18,-10.18,1
6.413,-10.18,-10.18,1
6.433,-10.18,-10.18,1
6.453,-10.18,-10.18,1
6.473,-10.18,-10.18,1
6.493,-10.18,-10.18,1
6.513,-10.18,-10.18,1
6.533,-10.18,-10.3,1
6.553,-10.18,-10.3,1
6.573,-10.18,-10.3,1
6.593,-10.18,-10.3,1
6.613,-10.18,-10.3,1
6.633,-9.81,-9.81,1
6.653,-9.2,-9.32,1
6.673,-8.59,-8.71,1
6.693,-8.22,-7.73,1
6.713,-7.61,-7.12,1
6.733,-6.76,-6.76,1
6.753,-6.02,-6.27,1
6.773,-5.78,-6.15,1
6.793,-5.54,-5.9,1
6.813,-5.29,-5.78,1
6.833,-5.05,-5.54,1
6.853,-4.8,-5.41,1
6.873,-4.68,-5.41,1
6.893,-4.68,-5.29,1
6.894,-4.56,-5.17,1
6.914,-4.44,-5.17,1
6.934,-4.56,-5.17,1
6.954,-4.56,-5.17,0
6.974,-4.44,-5.17,0
6.994,-4.31,-5.17,0
7.014,-4.19,-5.05,0
7.034,-4.19,-5.05,0
7.054,-4.19,-4.92,0
7.074,-4.19,-4.92,0
7.094,-4.31,-4.8,0
7.114,-4.44,-4.92,0
7.134,-4.31,-4.8,0
7.154,-4.19,-4.92,0
7.174,-4.07,-4.8,0
7.194,-4.07,-4.8,0
7.214,-4.07,-4.92,0
7.234,-4.07,-4.92,0
7.254,-4.19,-4.92,0
7.274,-4.19,-4.92,0
7.294,-4.31,-4.8,0
7.294,-4.07,-4.8,0
7.314,-4.07,-4.8,0
7.334,-4.07,-4.8,0
7.354,-4.07,-4.8,0
7.374,-4.07,-4.8,0
7.394,-4.19,-4.8,0
7.414,-4.31,-4.8,0
7.434,-4.19,-4.8,0
7.454,-4.07,-4.92,0
7.474,-4.07,-4.92,0
7.494,-3.95,-4.8,0
7.514,-3.95,-4.8,0
7.534,-3.95,-4.68,0
7.554,-3.95,-4.68,0
7.574,-3.95,-4.68,0
7.594,-3.82,-4.68,0
7.614,-3.82,-4.68,0
7.634,-3.82,-4.68,0
7.654,-3.95,-4.68,0
7.674,-4.19,-4.8,0
7.695,-5.29,-5.9,0
7.715,-6.15,-6.63,0
7.735,-6.63,-7.25,0
7.755,-7.0,-8.47,0
7.775,-7.61,-9.08,0
7.795,-8.71,-9.45,0
7.815,-9.2,-9.69,0
7.835,-9.45,-9.81,0
7.855,-9.57,-9.81,0
7.875,-9.69,-9.93,0
7.895,-9.69,-9.93,0
7.915,-9.81,-9.93,0
7.935,-9.81,-9.93,0
7.955,-9.93,-9.93,0
7.975,-9.93,-10.06,0
7.995,-9.93,-10.06,0
8.015,-9.93,-10.06,0
8.035,-10.06,-10.06,0
8.055,-10.06,-10.18,0
8.075,-10.06,-10.06,0
8.095,-10.06,-10.18,0
8.115,-10.06,-10.18,0
8.135,-10.06,-10.06,0
8.155,-10.06,-10.06,0
8.175,-10.06,-10.18,0
8.195,-10.06,-10.18,0
8.215,-10.06,-10.18,0
8.235,-10.06,-10.18,0
8.255,-10.06,-10.18,0
8.275,-10.06,-10.18,0
8.295,-10.06,-10.18,0
8.315,-10.06,-10.18,0
8.335,-10.06,-10.18,0
8.355,-10.18,-10.18,0
8.375,-10.18,-10.18,0
8.395,-10.06,-10.18,0
8.415,-10.18,-10.18,0
8.435,-10.18,-10.18,1
8.455,-10.18,-10.18,1
8.475,-10.18,-10.18,1
8.496,-10.18,-10.18,1
8.516,-10.18,-10.18,1
8.536,-10.18,-10.18,1
8.556,-10.18,-10.18,1
8.576,-10.06,-10.18,1
8.596,-10.06,-10.18,1
8.616,-10.18,-10.18,1
8.636,-10.18,-10.3,1
8.656,-10.18,-10.3,1
8.676,-10.18,-10.18,1
8.696,-10.18,-10.3,1
8.716,-9.69,-9.81,1
8.736,-9.08,-9.2,1
8.756,-8.59,-8.59,1
8.776,-8.22,-7.61,1
8.796,-7.49,-7.12,1
8.816,-6.63,-6.63,1
8.836,-6.02,-6.39,1
8.856,-5.66,-6.02,1
8.876,-5.41,-5.9,1
8.896,-5.29,-5.78,1
8.896,-5.05,-5.54,1
8.916,-4.92,-5.41,1
8.936,-4.68,-5.41,1
8.956,-4.68,-5.29,1
8.976,-4.56,-5.17,1
8.996,-4.44,-5.17,1
9.016,-4.44,-5.17,1
9.036,-4.56,-5.17,0
9.056,-4.56,-5.17,0
9.076,-4.31,-5.17,0
9.096,-4.19,-5.05,0
9.116,-4.19,-5.05,0
9.136,-4.19,-5.05,0
9.156,-4.19,-4.92,0
9.176,-4.31,-4.92,0
9.196,-4.44,-4.92,0
9.216,-4.44,-4.92,0
9.236,-4.31,-4.92,0
9.256,-4.19,-4.92,0
9.276,-4.07,-4.92,0
9.296,-4.07,-4.92,0
9.297,-4.07,-4.92,0
9.317,-4.07,-4.92,0
9.337,-4.19,-4.92,0
